Location,Name,Score
Florida Gulf Coast,Eagles,98
Illinois State,Redbirds,87
-,-,-
Bradley,Braves,68
IUPUI,Jaguars,53
-,-,-
Drake,Bulldogs,101
Coe College,Kohawks,54
-,-,-
