Location,Name,Score
Duke,Blue Devils,99
Utah Valley,Wolverines,69
-,-,-
DePaul,Blue Demons,58
Notre Dame,Fighting Irish,72
-,-,-
Saint Mary's,Gaels,85
St. Francis (PA),Red Flash,68
-,-,-
Florida Gulf Coast,Eagles,98
Illinois State,Redbirds,87
-,-,-
Buffalo,Bulls,80
Canisius,Golden Griffins,75
-,-,-
Fairfield,Stags,80
Pennsylvania,Quakers,72
-,-,-
Bradley,Braves,68
IUPUI,Jaguars,53
-,-,-
Ohio,Bobcats,61
Alabama A&M,Bulldogs,53
-,-,-
Western Michigan,Broncos,103
Siena Heights,Saints,72
-,-,-
Quinnipiac,Bobcats,78
Dartmouth,Big Green,77
-,-,-
Longwood,Lancers,61
Stephen F. Austin,Lumberjacks,74
-,-,-
Drake,Bulldogs,101
Coe College,Kohawks,54
-,-,-
La Salle,Explorers,61
Saint Peter's,Peacocks,40
-,-,-
Brown,Bears,106
Johnson & Wales (RI),Wildcats,78
-,-,-
Appalachian State,Mountaineers,135
Toccoa Falls,Eagles,34
-,-,-
UC Santa Barbara,Gauchos,85
North Dakota St,Bison,66
-,-,-
Little Rock,Trojans,79
Ouachita Baptist,Tigers,81
-,-,-
Duquesne,Dukes,80
St. Francis (BKN),Terriers,70
-,-,-
NJIT,Highlanders,49
Wagner,Seahawks,60
-,-,-
South Dakota,Coyotes,87
Mayville State,Comets,59
-,-,-
Toledo,Rockets,98
Saint Joseph's,Hawks,87
-,-,-
Akron,Zips,67
Cleveland State,Vikings,57
-,-,-
Marist,Red Foxes,76
Lehigh,Mountain Hawks,84
-,-,-
Elon,Phoenix,96
William Peace,Pacers,53
-,-,-
UNC Wilmington,Seahawks,105
NC Wesleyan,Battling Bishops,81
-,-,-
Presbyterian,Blue Hose,107
Johnson Univ (TN),Royals,87
-,-,-
Michigan,Wolverines,86
North Florida,Ospreys,66
-,-,-
Sam Houston State,Bearkats,91
Texas-Tyler,Patriots,51
-,-,-
UT Arlington,Mavericks,85
Loyola Marymount,Lions,80
-,-,-
Western Illinois,Leathernecks,109
St. Mary's (MN),Cardinals,68
-,-,-
Nebraska,Cornhuskers,72
Eastern Illinois,Panthers,68
-,-,-
BYU,Cougars,91
Mississippi Valley State,Delta Devils,61
-,-,-
New Mexico,Lobos,147
Northern New Mexico,Eagles,76
-,-,-
Kent State,Golden Flashes,111
Youngstown State,Penguins,78
-,-,-
Portland,Pilots,75
Portland St,Vikings,80
-,-,-
UNLV,Rebels,108
Florida A&M,Rattlers,66
-,-,-
