Location,Name,Score
Appalachian State,Mountaineers,135
Toccoa Falls,Eagles,34
-,-,-
Little Rock,Trojans,79
Ouachita Baptist,Tigers,81
-,-,-
UT Arlington,Mavericks,85
Loyola Marymount,Lions,80
-,-,-
