Location,Name,Score
Buffalo,Bulls,80
Canisius,Golden Griffins,75
-,-,-
Fairfield,Stags,80
Pennsylvania,Quakers,72
-,-,-
Quinnipiac,Bobcats,78
Dartmouth,Big Green,77
-,-,-
La Salle,Explorers,61
Saint Peter's,Peacocks,40
-,-,-
Marist,Red Foxes,76
Lehigh,Mountain Hawks,84
-,-,-
